date,open,high,low,close,volume,amount,ma5,ma10,ma20,label1,label2,label3,label4,label5
2017-07-10,15.55,15.55,15.55,15.55,23547,366155.84,,,,17.11,18.82,20.7,22.77,25.05
2017-07-11,17.11,17.11,17.11,17.11,8226,140746.86,,,,18.82,20.7,22.77,25.05,27.56
2017-07-12,18.82,18.82,18.82,18.82,12831,241479.42,,,,20.7,22.77,25.05,27.56,25.76
2017-07-13,20.7,20.7,20.7,20.7,31601,654140.69,,,,22.77,25.05,27.56,25.76,26.24
2017-07-14,22.77,22.77,22.77,22.77,65036,1480869.75,18.99,,,25.05,27.56,25.76,26.24,24.01
2017-07-17,25.05,25.05,25.05,25.05,798242,19995962.0,20.89,,,27.56,25.76,26.24,24.01,24.29
2017-07-18,26.0,27.56,25.81,27.56,16597956,440523008.0,22.98,,,25.76,26.24,24.01,24.29,24.02
2017-07-19,25.05,26.13,24.8,25.76,13117407,330940288.0,24.37,,,26.24,24.01,24.29,24.02,25.42
2017-07-20,25.28,27.86,25.02,26.24,12244348,325069728.0,25.48,,,24.01,24.29,24.02,25.42,27.96
2017-07-21,24.68,24.99,23.78,24.01,10041836,244109872.0,25.72,22.36,,24.29,24.02,25.42,27.96,28.4
2017-07-24,23.11,24.69,22.85,24.29,7503753,178016496.0,25.57,23.23,,24.02,25.42,27.96,28.4,27.6
2017-07-25,23.88,24.72,23.68,24.02,5636456,135998304.0,24.86,23.92,,25.42,27.96,28.4,27.6,26.25
2017-07-26,23.95,25.75,23.67,25.42,9259962,229679840.0,24.8,24.58,,27.96,28.4,27.6,26.25,25.75
2017-07-27,25.02,27.96,25.0,27.96,10452942,280657568.0,25.14,25.31,,28.4,27.6,26.25,25.75,26.17
2017-07-28,29.0,29.96,27.96,28.4,13774478,398686240.0,26.02,25.87,,27.6,26.25,25.75,26.17,24.72
2017-07-31,27.88,28.36,26.9,27.6,8569693,236620656.0,26.68,26.13,,26.25,25.75,26.17,24.72,24.66
2017-08-01,27.59,28.28,25.06,26.25,9366721,247244464.0,27.13,25.99,,25.75,26.17,24.72,24.66,25.43
2017-08-02,26.28,26.3,25.23,25.75,6085846,156412080.0,27.19,25.99,,26.17,24.72,24.66,25.43,24.49
2017-08-03,25.69,27.48,25.41,26.17,8248723,218162032.0,26.83,25.99,,24.72,24.66,25.43,24.49,23.57
2017-08-04,26.21,26.39,24.71,24.72,6591138,166525824.0,26.1,26.06,24.21,24.66,25.43,24.49,23.57,23.17
2017-08-07,24.87,25.49,24.53,24.66,3575443,89324272.0,25.51,26.1,24.66,25.43,24.49,23.57,23.17,23.82
2017-08-08,24.44,25.63,23.68,25.43,6298546,155642960.0,25.35,26.24,25.08,24.49,23.57,23.17,23.82,24.85
2017-08-09,25.1,25.4,24.16,24.49,4500093,111259064.0,25.09,26.14,25.36,23.57,23.17,23.82,24.85,25.46
2017-08-10,24.21,24.4,23.48,23.57,3959636,94458480.0,24.57,25.7,25.51,23.17,23.82,24.85,25.46,25.38
2017-08-11,23.12,23.96,23.04,23.17,3044988,71252648.0,24.26,25.18,25.53,23.82,24.85,25.46,25.38,24.99
2017-08-14,23.08,24.24,23.05,23.82,3239706,77054544.0,24.1,24.8,25.46,24.85,25.46,25.38,24.99,27.49
2017-08-15,23.82,24.97,23.82,24.85,4951419,120533600.0,23.98,24.66,25.33,25.46,25.38,24.99,27.49,28.43
2017-08-16,24.99,26.38,24.53,25.46,7380390,188348448.0,24.17,24.63,25.31,25.38,24.99,27.49,28.43,31.27
2017-08-17,25.34,25.8,24.7,25.38,4982222,126023960.0,24.54,24.56,25.27,24.99,27.49,28.43,31.27,29.85
2017-08-18,24.84,25.43,24.69,24.99,3469671,86735320.0,24.9,24.58,25.32,27.49,28.43,31.27,29.85,31.38
2017-08-21,25.0,27.49,25.0,27.49,5669243,151069472.0,25.63,24.86,25.48,28.43,31.27,29.85,31.38,32.89
2017-08-22,28.3,29.46,27.51,28.43,12381557,351574688.0,26.35,25.16,25.7,31.27,29.85,31.38,32.89,30.5
2017-08-23,28.04,31.27,27.22,31.27,10459662,305233344.0,27.51,25.84,25.99,29.85,31.38,32.89,30.5,28.98
2017-08-24,32.0,33.68,29.6,29.85,15394401,492106720.0,28.41,26.47,26.09,31.38,32.89,30.5,28.98,30.99
2017-08-25,29.11,32.5,29.11,31.38,11790858,359870080.0,29.68,27.29,26.24,32.89,30.5,28.98,30.99,31.36
2017-08-28,31.11,33.48,30.18,32.89,11448604,365638592.0,30.76,28.2,26.5,30.5,28.98,30.99,31.36,31.8
2017-08-29,32.25,33.8,30.33,30.5,12470333,402876256.0,31.18,28.76,26.71,28.98,30.99,31.36,31.8,34.98
2017-08-30,29.58,30.7,28.25,28.98,8415372,248032144.0,30.72,29.12,26.88,30.99,31.36,31.8,34.98,37.28
2017-08-31,29.4,31.11,29.21,30.99,7538461,228608096.0,30.95,29.68,27.12,31.36,31.8,34.98,37.28,34.71
2017-09-01,31.0,31.94,30.09,31.36,7643109,238175664.0,30.94,30.31,27.45,31.8,34.98,37.28,34.71,34.18
2017-09-04,30.61,33.33,29.77,31.8,9388223,299099008.0,30.73,30.74,27.8,34.98,37.28,34.71,34.18,35.57
2017-09-05,31.57,34.98,30.8,34.98,12513555,425384576.0,31.62,31.4,28.28,37.28,34.71,34.18,35.57,35.02
