date,open,high,low,close,volume,amount,ma5,ma10,ma20,label1,label2,label3,label4,label5
2017-04-13,46.34,46.34,46.34,46.34,2200,101948.0,,,,50.97,56.07,61.68,67.85,61.11
2017-04-14,50.97,50.97,50.97,50.97,17300,881781.0,,,,56.07,61.68,67.85,61.11,62.42
2017-04-17,56.07,56.07,56.07,56.07,63900,3582873.0,,,,61.68,67.85,61.11,62.42,62.51
2017-04-18,61.68,61.68,60.06,61.68,1367425,84285168.0,,,,67.85,61.11,62.42,62.51,64.92
2017-04-19,64.0,67.85,59.58,67.85,8893739,574096320.0,56.58,,,61.11,62.42,62.51,64.92,64.18
2017-04-20,65.2,67.0,61.07,61.11,6161425,392372832.0,59.54,,,62.42,62.51,64.92,64.18,70.6
2017-04-21,60.59,65.0,60.59,62.42,4324494,273498656.0,61.83,,,62.51,64.92,64.18,70.6,67.73
2017-04-24,60.2,63.74,58.05,62.51,3299422,200721168.0,63.11,,,64.92,64.18,70.6,67.73,66.91
2017-04-25,61.99,67.0,61.49,64.92,3822184,248624704.0,63.76,,,64.18,70.6,67.73,66.91,68.1
2017-04-26,63.82,66.13,63.2,64.18,3095250,199412704.0,63.03,59.8,,70.6,67.73,66.91,68.1,65.66
2017-04-27,64.5,70.6,63.88,70.6,4467041,300491968.0,64.93,62.23,,67.73,66.91,68.1,65.66,62.55
2017-04-28,72.85,72.85,67.63,67.73,5036802,351164032.0,65.99,63.91,,66.91,68.1,65.66,62.55,61.97
2017-05-02,67.1,68.99,65.6,66.91,3307176,221600896.0,66.87,64.99,,68.1,65.66,62.55,61.97,64.03
2017-05-03,66.8,68.75,64.66,68.1,4071265,272117952.0,67.5,65.63,,65.66,62.55,61.97,64.03,63.46
2017-05-04,66.78,68.0,63.01,65.66,3486148,228695872.0,67.8,65.41,,62.55,61.97,64.03,63.46,67.7
2017-05-05,64.81,65.9,62.2,62.55,2101472,135761856.0,66.19,65.56,,61.97,64.03,63.46,67.7,68.26
2017-05-08,61.25,63.97,61.19,61.97,1671182,104694848.0,65.04,65.51,,64.03,63.46,67.7,68.26,67.22
2017-05-09,62.5,65.1,62.06,64.03,1906661,121883136.0,64.46,65.66,,63.46,67.7,68.26,67.22,71.0
2017-05-10,64.6,66.96,63.01,63.46,2504013,163288240.0,63.53,65.52,,67.7,68.26,67.22,71.0,69.72
2017-05-11,63.4,68.68,62.5,67.7,3222492,211143264.0,63.94,65.87,62.84,68.26,67.22,71.0,69.72,67.8
2017-05-12,67.95,68.4,66.0,68.26,2752709,185299712.0,65.08,65.64,63.93,67.22,71.0,69.72,67.8,67.14
2017-05-15,67.9,68.97,66.72,67.22,1935236,130969432.0,66.13,65.59,64.75,71.0,69.72,67.8,67.14,62.64
2017-05-16,66.95,71.17,65.59,71.0,2410571,165361616.0,67.53,66.0,65.49,69.72,67.8,67.14,62.64,59.85
2017-05-17,70.3,71.28,69.24,69.72,1904959,134118008.0,68.78,66.16,65.9,67.8,67.14,62.64,59.85,62.2
2017-05-18,68.79,69.77,66.83,67.8,1515248,103372808.0,68.8,66.37,65.89,67.14,62.64,59.85,62.2,61.91
2017-05-19,68.27,68.99,67.0,67.14,903783,61390380.0,68.58,66.83,66.19,62.64,59.85,62.2,61.91,63.4
2017-05-22,67.2,67.79,61.0,62.64,2088733,133697448.0,67.66,66.9,66.21,59.85,62.2,61.91,63.4,64.31
2017-05-23,61.78,63.52,58.0,59.85,1541264,93376912.0,65.43,66.48,66.07,62.2,61.91,63.4,64.31,62.76
2017-05-24,59.85,62.44,58.2,62.2,1203380,73724240.0,63.93,66.35,65.94,61.91,63.4,64.31,62.76,66.32
2017-05-25,62.0,62.54,60.11,61.91,1254857,77320872.0,62.75,65.77,65.82,63.4,64.31,62.76,66.32,68.45
2017-05-26,62.4,64.25,61.93,63.4,1309169,82756080.0,62.0,65.29,65.46,64.31,62.76,66.32,68.45,68.13
2017-05-31,65.14,68.95,63.41,64.31,2078081,138898672.0,62.33,65.0,65.29,62.76,66.32,68.45,68.13,71.3
2017-06-01,63.0,65.8,62.5,62.76,1734064,110957928.0,62.92,64.17,65.08,66.32,68.45,68.13,71.3,67.41
2017-06-02,62.22,67.3,61.3,66.32,1318600,85422096.0,63.74,63.83,65.0,68.45,68.13,71.3,67.41,72.17
2017-06-05,68.05,69.96,67.27,68.45,1815119,124508336.0,65.05,63.9,65.13,68.13,71.3,67.41,72.17,68.91
2017-06-06,67.51,68.95,66.8,68.13,1240400,84331872.0,65.99,64.0,65.41,71.3,67.41,72.17,68.91,73.06
2017-06-07,68.13,71.6,68.13,71.3,1915069,134610304.0,67.39,64.86,65.88,67.41,72.17,68.91,73.06,73.94
2017-06-08,70.5,71.27,66.92,67.41,2062237,142144256.0,68.32,65.62,66.05,72.17,68.91,73.06,73.94,75.39
2017-06-09,66.89,74.1,66.65,72.17,1848498,129783840.0,69.49,66.62,66.48,68.91,73.06,73.94,75.39,74.02
2017-06-12,70.35,72.17,68.66,68.91,1445829,101579856.0,69.58,67.32,66.55,73.06,73.94,75.39,74.02,72.72
2017-06-13,69.0,74.85,69.0,73.06,2392694,173393920.0,70.57,68.28,66.78,73.94,75.39,74.02,72.72,70.51
2017-06-14,72.18,74.98,71.49,73.94,1913644,140200560.0,71.1,69.24,67.12,75.39,74.02,72.72,70.51,72.64
2017-06-15,75.3,76.76,73.6,75.39,1847561,138812208.0,72.69,70.51,67.34,74.02,72.72,70.51,72.64,71.8
2017-06-16,75.1,75.77,73.0,74.02,1528557,113214528.0,73.06,71.28,67.56,72.72,70.51,72.64,71.8,73.14
2017-06-19,73.1,76.1,72.36,72.72,1361900,101185640.0,73.83,71.7,67.8,70.51,72.64,71.8,73.14,76.28
2017-06-20,73.28,74.21,69.3,70.51,1914177,137001664.0,73.32,71.94,67.97,72.64,71.8,73.14,76.28,78.39
2017-06-21,70.85,72.97,70.32,72.64,1309452,94043360.0,73.06,72.08,68.47,71.8,73.14,76.28,78.39,77.8
2017-06-22,73.1,73.88,71.0,71.8,1075451,77543736.0,72.34,72.52,69.07,73.14,76.28,78.39,77.8,79.8
2017-06-23,71.32,73.2,69.5,73.14,1252988,89238736.0,72.16,72.61,69.61,76.28,78.39,77.8,79.8,79.74
2017-06-26,72.44,76.8,72.44,76.28,1699858,127196256.0,72.87,73.35,70.33,78.39,77.8,79.8,79.74,77.43
2017-06-27,76.36,80.48,76.28,78.39,2308859,181160672.0,74.45,73.88,71.08,77.8,79.8,79.74,77.43,79.61
2017-06-28,78.38,79.3,76.8,77.8,1019424,79497424.0,75.48,74.27,71.76,79.8,79.74,77.43,79.61,79.61
2017-06-29,77.92,80.6,77.92,79.8,1165008,92537104.0,77.08,74.71,72.61,79.74,77.43,79.61,79.61,83.04
2017-06-30,79.5,84.56,78.51,79.74,2367410,193496016.0,78.4,75.28,73.28,77.43,79.61,79.61,83.04,82.84
2017-07-03,79.88,80.0,76.66,77.43,1980362,153621984.0,78.63,75.75,73.73,79.61,79.61,83.04,82.84,74.56
2017-07-04,77.6,80.0,76.67,79.61,1619530,126618312.0,78.88,76.66,74.3,79.61,83.04,82.84,74.56,72.99
2017-07-05,79.8,81.13,77.9,79.61,1730673,137445904.0,79.24,77.36,74.72,83.04,82.84,74.56,72.99,75.09
2017-07-06,79.7,83.2,78.58,83.04,1767605,143130560.0,79.89,78.48,75.5,82.84,74.56,72.99,75.09,73.79
2017-07-07,82.98,84.48,81.22,82.84,1504315,125211104.0,80.51,79.45,76.03,74.56,72.99,75.09,73.79,71.75
2017-07-10,80.81,82.0,74.56,74.56,2910456,222999840.0,79.93,79.28,76.32,72.99,75.09,73.79,71.75,64.58
2017-07-11,73.82,75.68,71.25,72.99,2313416,170249600.0,78.61,78.74,76.31,75.09,73.79,71.75,64.58,62.04
2017-07-12,72.69,75.2,71.45,75.09,1346577,99032208.0,77.7,78.47,76.37,73.79,71.75,64.58,62.04,63.06
2017-07-13,74.0,75.06,71.98,73.79,1063577,77852832.0,75.85,77.87,76.29,71.75,64.58,62.04,63.06,62.23
2017-07-14,73.8,74.4,70.48,71.75,1485060,106737672.0,73.64,77.07,76.18,64.58,62.04,63.06,62.23,61.92
2017-07-17,70.01,70.01,64.58,64.58,1586086,105555216.0,71.64,75.79,75.77,62.04,63.06,62.23,61.92,63.53
2017-07-18,63.5,64.58,60.8,62.04,2215017,138525792.0,69.45,74.03,75.35,63.06,62.23,61.92,63.53,63.82
2017-07-19,62.0,63.68,60.3,63.06,1203588,74942888.0,67.04,72.37,74.87,62.23,61.92,63.53,63.82,62.15
2017-07-20,63.13,64.2,61.82,62.23,1318196,82667648.0,64.73,70.29,74.39,61.92,63.53,63.82,62.15,64.21
2017-07-21,62.23,62.75,61.5,61.92,527377,32746760.0,62.77,68.2,73.83,63.53,63.82,62.15,64.21,64.79
2017-07-24,61.5,64.52,59.3,63.53,1405366,87166056.0,62.56,67.1,73.19,63.82,62.15,64.21,64.79,63.83
2017-07-25,63.21,64.04,62.5,63.82,559803,35599888.0,62.91,66.18,72.46,62.15,64.21,64.79,63.83,63.85
2017-07-26,63.87,63.88,61.02,62.15,615607,38492792.0,62.73,64.89,71.68,64.21,64.79,63.83,63.85,62.66
2017-07-27,62.25,66.6,60.61,64.21,946213,60391500.0,63.13,63.93,70.9,64.79,63.83,63.85,62.66,62.99
2017-07-28,63.7,65.5,63.7,64.79,727100,47129088.0,63.7,63.23,70.15,63.83,63.85,62.66,62.99,61.95
2017-07-31,64.66,64.78,62.5,63.83,608613,38813368.0,63.76,63.16,69.47,63.85,62.66,62.99,61.95,61.84
2017-08-01,62.82,64.5,62.6,63.85,530600,33647608.0,63.77,63.34,68.68,62.66,62.99,61.95,61.84,62.03
2017-08-02,63.85,63.89,62.6,62.66,439900,27719412.0,63.87,63.3,67.84,62.99,61.95,61.84,62.03,61.77
2017-08-03,61.7,63.68,61.64,62.99,509300,32037730.0,63.62,63.38,66.83,61.95,61.84,62.03,61.77,62.79
2017-08-04,62.9,63.25,61.8,61.95,284200,17723588.0,63.06,63.38,65.79,61.84,62.03,61.77,62.79,60.43
2017-08-07,61.95,62.75,61.12,61.84,258800,16077921.0,62.66,63.21,65.15,62.03,61.77,62.79,60.43,60.67
2017-08-08,61.84,62.2,61.5,62.03,324583,20070212.0,62.29,63.03,64.61,61.77,62.79,60.43,60.67,61.13
2017-08-09,61.61,61.92,61.19,61.77,302100,18603576.0,62.12,62.99,63.94,62.79,60.43,60.67,61.13,64.25
2017-08-10,61.99,63.75,61.6,62.79,729206,45784528.0,62.08,62.85,63.39,60.43,60.67,61.13,64.25,63.6
2017-08-11,62.11,62.96,59.87,60.43,635108,38871456.0,61.77,62.41,62.82,60.67,61.13,64.25,63.6,61.45
2017-08-14,60.4,61.4,60.1,60.67,466780,28364420.0,61.54,62.1,62.63,61.13,64.25,63.6,61.45,60.24
2017-08-15,60.99,61.27,60.01,61.13,685383,41645872.0,61.36,61.83,62.58,64.25,63.6,61.45,60.24,59.69
2017-08-16,61.18,65.2,60.85,64.25,1135751,71957152.0,61.85,61.98,62.64,63.6,61.45,60.24,59.69,59.55
2017-08-17,64.0,64.25,63.0,63.6,641813,40746508.0,62.02,62.05,62.71,61.45,60.24,59.69,59.55,59.35
2017-08-18,63.03,63.76,61.22,61.45,712094,44400348.0,62.22,62.0,62.69,60.24,59.69,59.55,59.35,60.07
2017-08-21,59.03,61.5,58.1,60.24,1408007,83646232.0,62.13,61.84,62.52,59.69,59.55,59.35,60.07,63.19
2017-08-22,59.51,60.38,59.2,59.69,494788,29583630.0,61.85,61.6,62.32,59.55,59.35,60.07,63.19,64.27
2017-08-23,59.76,60.2,59.2,59.55,295488,17640824.0,60.91,61.38,62.19,59.35,60.07,63.19,64.27,62.85
2017-08-24,59.5,60.47,59.26,59.35,520088,31122712.0,60.06,61.04,61.94,60.07,63.19,64.27,62.85,63.96
2017-08-25,59.4,60.4,59.12,60.07,471213,28275020.0,59.78,61.0,61.71,63.19,64.27,62.85,63.96,65.44
