code,date,open,close,low,high,volume,amount,pctChg,preclose,label,ma5,ma10,ma20
sh.603160,2016-10-17,23.3,27.96,23.3,27.96,14500,404954.0,43.97528,19.42,27.96,,,
sh.603160,2016-10-18,30.76,30.76,30.76,30.76,4136,127223.0,10.01431,27.96,30.76,,,
sh.603160,2016-10-19,33.84,33.84,33.84,33.84,4600,155664.0,10.013,30.76,33.84,,,
sh.603160,2016-10-20,37.22,37.22,37.22,37.22,15731,585508.0,9.988183,33.84,37.22,,,
sh.603160,2016-10-21,40.94,40.94,40.94,40.94,10435,427209.0,9.994619,37.22,40.94,34.14,,
sh.603160,2016-10-24,45.03,45.03,45.03,45.03,44933,2023333.0,9.990231,40.94,45.03,37.56,,
sh.603160,2016-10-25,49.53,49.53,49.53,49.53,33300,1649349.0,9.993338,45.03,49.53,41.31,,
sh.603160,2016-10-26,54.48,54.48,54.48,54.48,25426,1385208.0,9.993945,49.53,54.48,45.44,,
sh.603160,2016-10-27,59.93,59.93,59.93,59.93,63143,3784160.0,10.00367,54.48,59.93,49.98,,
sh.603160,2016-10-28,65.92,65.92,65.92,65.92,72400,4772608.0,9.99499,59.93,65.92,54.98,44.56,
sh.603160,2016-10-31,72.51,72.51,72.51,72.51,172904,12537269.0,9.996972,65.92,72.51,60.47,49.02,
sh.603160,2016-11-01,79.76,79.76,79.76,79.76,142194,11341393.0,9.99862,72.51,79.76,66.52,53.92,
sh.603160,2016-11-02,87.74,87.74,87.74,87.74,75369,6612876.0,10.00501,79.76,87.74,73.17,59.31,
sh.603160,2016-11-03,96.51,96.51,96.51,96.51,97024,9363786.0,9.995446,87.74,96.51,80.49,65.23,
sh.603160,2016-11-04,106.16,106.16,106.16,106.16,295886,31411258.0,9.998965,96.51,106.16,88.54,71.76,
sh.603160,2016-11-07,116.78,116.78,116.78,116.78,312682,36515004.0,10.00376,106.16,116.78,97.39,78.93,
sh.603160,2016-11-08,128.46,128.46,128.46,128.46,378147,48576764.0,10.00172,116.78,128.46,107.13,86.82,
sh.603160,2016-11-09,141.31,141.31,141.31,141.31,785875,111051996.0,10.00311,128.46,141.31,117.84,95.51,
sh.603160,2016-11-10,155.44,155.44,155.44,155.44,2657035,413009520.0,9.999296,141.31,155.44,129.63,105.06,
sh.603160,2016-11-11,170.98,170.98,170.98,170.98,968111,165527619.0,9.997422,155.44,170.98,142.59,115.57,80.06
sh.603160,2016-11-14,178.0,153.88,153.88,178.0,26670406,4341645568.0,-10.00116,170.98,153.88,150.01,123.7,86.36
sh.603160,2016-11-15,150.0,145.54,142.78,153.49,14712357,2172375232.0,-5.419815,153.88,145.54,153.43,130.28,92.1
sh.603160,2016-11-16,145.18,144.66,142.7,147.98,8026712,1162727552.0,-0.604638,145.54,144.66,154.1,135.97,97.64
sh.603160,2016-11-17,143.99,143.88,140.61,147.0,7452746,1070581264.0,-0.539195,144.66,143.88,151.79,140.71,102.97
sh.603160,2016-11-18,142.47,141.94,141.52,145.68,5245827,750829040.0,-1.348348,143.88,141.94,145.98,144.29,108.02
sh.603160,2016-11-21,141.92,137.44,136.0,141.92,6059959,837641968.0,-3.170354,141.94,137.44,142.69,146.35,112.64
sh.603160,2016-11-22,137.7,139.24,137.7,141.83,5691776,794686496.0,1.309665,137.44,139.24,141.43,147.43,117.13
sh.603160,2016-11-23,138.79,139.15,138.01,140.86,3543344,494191952.0,-0.06464500000000001,139.24,139.15,140.33,147.22,121.36
sh.603160,2016-11-24,138.5,141.33,138.16,144.97,5636071,799809328.0,1.56666,139.15,141.33,139.82,145.8,125.43
