code,date,open,close,low,high,volume,amount,pctChg,preclose,label,ma5,ma10,ma20,label1,label2,label3,label4,label5
sz.300613,2017-02-20,66.77,80.12,66.77,80.12,5004,398251.0,43.99713,55.64,80.12,,,,88.13,96.94,106.63,117.29,129.02
sz.300613,2017-02-21,88.13,88.13,88.13,88.13,2205,194326.0,9.997497000000001,80.12,88.13,,,,96.94,106.63,117.29,129.02,141.92
sz.300613,2017-02-22,96.94,96.94,96.94,96.94,700,67858.0,9.996602000000001,88.13,96.94,,,,106.63,117.29,129.02,141.92,156.11
sz.300613,2017-02-23,106.63,106.63,106.63,106.63,6300,671769.0,9.995868,96.94,106.63,,,,117.29,129.02,141.92,156.11,171.72
sz.300613,2017-02-24,117.29,117.29,117.29,117.29,5400,633366.0,9.99719,106.63,117.29,97.82,,,129.02,141.92,156.11,171.72,188.89
sz.300613,2017-02-27,129.02,129.02,129.02,129.02,4100,528982.0,10.000860000000001,117.29,129.02,107.6,,,141.92,156.11,171.72,188.89,207.78
sz.300613,2017-02-28,141.92,141.92,141.92,141.92,13100,1859152.0,9.998445,129.02,141.92,118.36,,,156.11,171.72,188.89,207.78,228.56
sz.300613,2017-03-01,156.11,156.11,156.11,156.11,25000,3902750.0,9.998592,141.92,156.11,130.19,,,171.72,188.89,207.78,228.56,251.42
sz.300613,2017-03-02,171.72,171.72,171.72,171.72,19200,3297024.0,9.999360000000001,156.11,171.72,143.21,,,188.89,207.78,228.56,251.42,276.56
sz.300613,2017-03-03,188.89,188.89,188.89,188.89,99400,18775666.0,9.998835,171.72,188.89,157.53,127.68,,207.78,228.56,251.42,276.56,281.0
sz.300613,2017-03-06,207.78,207.78,207.78,207.78,64300,13360254.0,10.00053,188.89,207.78,173.28,140.44,,228.56,251.42,276.56,281.0,294.5
sz.300613,2017-03-07,228.56,228.56,228.56,228.56,26500,6056840.0,10.000960000000001,207.78,228.56,190.61,154.49,,251.42,276.56,281.0,294.5,283.01
sz.300613,2017-03-08,251.42,251.42,251.42,251.42,155257,39034714.0,10.00175,228.56,251.42,209.67,169.93,,276.56,281.0,294.5,283.01,283.0
sz.300613,2017-03-09,276.56,276.56,266.56,276.56,7574188,2073777456.0,9.999205,251.42,276.56,230.64,186.93,,281.0,294.5,283.01,283.0,284.98
sz.300613,2017-03-10,275.48,281.0,269.97,295.99,6297245,1763001680.0,1.6054389999999998,276.56,281.0,249.06,203.3,,294.5,283.01,283.0,284.98,269.4
sz.300613,2017-03-13,296.02,294.5,281.13,304.88,4718749,1371012880.0,4.80427,281.0,294.5,266.41,219.85,,283.01,283.0,284.98,269.4,267.98
sz.300613,2017-03-14,285.0,283.01,282.34,292.4,3883323,1113241888.0,-3.901525,294.5,283.01,277.3,233.96,,283.0,284.98,269.4,267.98,286.06
sz.300613,2017-03-15,279.28,283.0,274.18,288.8,2988292,839786208.0,-0.0035369999999999998,283.01,283.0,283.61,246.64,,284.98,269.4,267.98,286.06,291.3
sz.300613,2017-03-16,281.1,284.98,281.1,289.89,3473664,992345232.0,0.69965,283.0,284.98,285.3,257.97,,269.4,267.98,286.06,291.3,278.8
sz.300613,2017-03-17,282.0,269.4,269.0,284.98,3781827,1044391104.0,-5.4670559999999995,284.98,269.4,282.98,266.02,196.85,267.98,286.06,291.3,278.8,275.99
sz.300613,2017-03-20,263.0,267.98,261.33,267.98,1828672,485630336.0,-0.527091,269.4,267.98,277.67,272.04,206.24,286.06,291.3,278.8,275.99,279.2
sz.300613,2017-03-21,268.2,286.06,268.2,294.5,3439577,971803200.0,6.746767,267.98,286.06,278.28,277.79,216.14,291.3,278.8,275.99,279.2,261.72
sz.300613,2017-03-22,282.78,291.3,281.18,291.95,3087190,886116848.0,1.83178,286.06,291.3,279.94,281.78,225.86,278.8,275.99,279.2,261.72,239.98
sz.300613,2017-03-23,286.02,278.8,268.5,289.0,2942921,824296880.0,-4.291109,291.3,278.8,278.71,282.0,234.46,275.99,279.2,261.72,239.98,234.49
sz.300613,2017-03-24,275.88,275.99,272.0,278.0,1432269,394673984.0,-1.00789,278.8,275.99,280.03,281.5,242.4,279.2,261.72,239.98,234.49,229.61
sz.300613,2017-03-27,276.07,279.2,270.0,281.56,1433038,395810160.0,1.163094,275.99,279.2,282.27,279.97,249.91,261.72,239.98,234.49,229.61,223.68
sz.300613,2017-03-28,275.0,261.72,260.0,276.88,2271077,606690192.0,-6.260749,279.2,261.72,277.4,277.84,255.9,239.98,234.49,229.61,223.68,227.19
sz.300613,2017-03-29,260.5,239.98,239.98,261.98,2456315,614384512.0,-8.306589,261.72,239.98,267.14,273.54,260.09,234.49,229.61,223.68,227.19,214.11
sz.300613,2017-03-30,236.15,234.49,232.33,242.5,1621453,383814128.0,-2.287687,239.98,234.49,258.28,268.49,263.23,229.61,223.68,227.19,214.11,192.7
sz.300613,2017-03-31,234.51,229.61,227.26,238.6,1410564,327839104.0,-2.081114,234.49,229.61,249.0,264.51,265.27,223.68,227.19,214.11,192.7,196.11
sz.300613,2017-04-05,226.99,223.68,214.01,228.47,1409647,312372912.0,-2.5826439999999997,229.61,223.68,237.9,260.08,266.06,227.19,214.11,192.7,196.11,190.19
sz.300613,2017-04-06,223.0,227.19,221.14,233.78,1331566,304883248.0,1.56921,223.68,227.19,230.99,254.2,265.99,214.11,192.7,196.11,190.19,189.98
sz.300613,2017-04-07,226.4,214.11,213.8,234.89,2050642,454542688.0,-5.757297,227.19,214.11,225.82,246.48,264.13,192.7,196.11,190.19,189.98,185.51
sz.300613,2017-04-10,207.13,192.7,192.7,207.39,2165740,428852464.0,-9.999535,214.11,192.7,217.46,237.87,259.93,196.11,190.19,189.98,185.51,170.14
sz.300613,2017-04-11,190.0,196.11,186.0,196.75,1532952,293776960.0,1.7695919999999998,192.7,196.11,210.76,229.88,255.69,190.19,189.98,185.51,170.14,169.51
sz.300613,2017-04-12,193.0,190.19,186.7,195.0,1164348,221439466.0,-3.018713,196.11,190.19,204.06,220.98,250.48,189.98,185.51,170.14,169.51,175.1
