date,r1,r2,r3,r4,r5,r6
1961.0,1.3645652994545905,18.743047677029256,31.15787083850043,16.6188511253141,8.64156901650291,1923.4740960431986
1962.0,1.3982791611887064,18.514248162113166,31.729748650158253,16.6227562058238,8.835688046918637,1922.8992797737974
1963.0,1.4253543860562592,19.63639078657558,32.84050958904109,16.6266612863335,9.226439908675799,1920.2446440433177
1964.0,1.4536011350767348,21.275669015939528,33.49414166741291,16.6305663668433,9.759073430643861,1917.3869483840836
1965.0,1.4823685614985096,22.770666755097967,34.63215577801194,16.634471447353,10.62232139093783,1913.8580160671008
1966.0,1.5166031006339247,23.39861937764229,35.46537979572568,16.6383765278628,10.328092438417302,1912.652928759718
1967.0,1.5358681644819911,25.756200773301092,36.92807949826256,16.6422816083725,10.955624798711755,1908.1819451568701
1968.0,1.5632037280501934,27.194297971224238,37.63558414522441,16.6461866888823,11.210167707552671,1905.7505597590662
1969.0,1.5962667430326856,29.862188893331552,37.92934763108538,16.650091769392,11.600554350485199,1902.3615506126732
1970.0,1.62802806451193,32.99037296645517,40.63411369633006,16.6539968499017,11.802890541296874,1896.2905978815043
1971.0,1.6840008851515822,34.890866012954056,39.89629744144701,16.6579019304115,11.80911756976115,1895.0618161602747
1972.0,1.7152415292295276,39.428124195443914,40.35206344387948,16.6618070109212,11.951631554982168,1889.8911322655438
1973.0,1.7416659073454563,47.6247930449704,42.64271225710015,16.665712091431,12.779686846038864,1878.545429853114
1974.0,1.7863139945068534,64.7155416483126,42.941616264665164,16.6696171719407,12.559668731326969,1861.3272421892477
1975.0,1.8084427840620647,69.92538975362106,43.45871446051969,16.6735222524505,12.659899805657526,1855.4740309436893
1976.0,1.826666493107533,74.74862358484762,44.057029858191406,16.6774273329602,12.41679177652676,1850.2734609543666
1977.0,1.8473634198091717,77.63130771954408,46.71195673618939,16.6813324134699,13.231896138669672,1843.8961435723177
1978.0,1.868971531963084,82.3995482475188,46.29618470539072,16.6852374939797,14.069858615406044,1838.6801994057416
1979.0,1.8892779506137485,92.79253594804821,46.83853176243627,16.6891425744894,14.12909198015709,1827.6614197842553
1980.0,1.912448094971558,101.91816060433473,47.37482031037299,16.6930476549992,15.024916008712223,1817.0766073266093
1981.0,1.9430378922978795,118.30865317835237,46.94676425269645,16.6969527355089,15.432500837408723,1800.6720911037357
1982.0,1.9757103992293974,127.63323606396924,48.17489524311503,16.7008578160186,15.424931809197522,1790.09036866847
1983.0,2.000572745141429,115.15806465883882,45.551462033964484,16.7047628965284,14.64008413039235,1805.9450535351345
1984.0,2.023352381448264,124.2885793381617,46.517124292331445,16.7086679770381,15.220975295934123,1795.2413007150863
1985.0,2.0512086224177657,114.34889888360253,46.029565300165,16.7125730575479,15.308410204340653,1805.5493439319262
1986.0,2.0851047212423364,113.60527656764951,46.23739075063677,16.7164781380576,14.98057315337362,1806.3751766690402
1987.0,2.117061296747068,116.23359670409191,47.723704646487,16.7203832185674,15.74695780224915,1801.4582963318576
1988.0,2.1519857334392043,142.57022162372962,47.028416060778355,16.7242882990771,15.796167781662453,1775.7289205013133
1989.0,2.188719524100855,178.01268266658562,50.01103102102959,16.7281933795868,16.51986291512037,1736.5395104935767
1990.0,2.221352980227276,182.14836984313487,50.61508458784302,16.732098460096587,15.452881670778373,1732.83021245792
1991.0,2.2498470510133686,188.24247403828772,49.27781589909743,16.73600354060633,15.127966211525111,1728.36589325947
1992.0,2.277312783931895,185.6976879409432,49.59214918548157,16.739908621116072,15.317768505287225,1730.37517296324
1993.0,2.299701912187756,176.33381380407948,51.47536650251882,16.743813701625815,15.701451802796175,1737.445852276792
1994.0,2.3241737500488133,180.4543906043544,50.89788966676001,16.74771878213556,15.576586278353401,1733.9992409183478
1995.0,2.352420499069289,203.19630628395572,51.29223660911908,16.7516238626453,15.59651881363435,1710.8108939315762
1996.0,2.3835309737969097,218.61325509869977,53.93580634591229,16.755528943155046,16.50180039320627,1691.8100782452298
1997.0,2.410345859963813,234.685968306374,54.69599989199114,16.759434023664788,16.51427320840309,1674.9339787096033
1998.0,2.4355987139268187,213.1896416943181,55.536534658756885,16.76333910417453,16.935695847362513,1695.1391899814612
1999.0,2.4635851242466447,205.21777570592846,56.10344710979605,16.767244184684273,17.190297685723348,1702.2576501896212
2000.0,2.4931335667703682,216.69410913093975,56.440649506604714,16.77114926519402,17.2006098261369,1690.4003487043542
2001.0,2.5269775978548092,194.82567902664687,54.46973213825787,16.739908621116072,16.733367434193582,1714.7043351819307
2002.0,2.558009970972235,200.74229312948125,55.69640992499262,16.70866797703813,17.370451774428282,1706.9241672230876
2003.0,2.5897712924514793,234.37312145432668,55.68764940639545,16.677427332960182,16.901958945283834,1673.7700715685824
2004.0,2.6199705817268266,304.0155478629442,55.98088178304202,16.646186688882235,17.026515347238092,1603.7108977361668
2005.0,2.6547778660036707,339.61681801921696,55.64087169278444,16.61494604480429,17.169711446054876,1568.3028749311356
2006.0,2.694232196087109,360.1920305118798,57.09344667816543,16.49961600041654,17.651398306108348,1545.8692763073427
2007.0,2.7111151608242325,409.0547089368447,58.68347097121127,16.384285956028794,17.865260039562887,1495.301158935528
2008.0,2.7659945589211565,495.35257873776857,59.646657756527304,16.268955911641044,18.160875656495307,1407.8049373786466
2009.0,2.8235944964398683,427.09803303478657,58.625519438310505,16.153625867253297,18.20018195899814,1477.0990452042115
2010.0,2.867858584017807,519.368887116461,57.931160257355856,16.038295822865546,17.740845053161912,1386.052953166138
2011.0,2.9079864103198263,624.1178544739608,57.45232189544649,16.078387982765577,17.538877755905723,1281.9045714816016
